threshold,XGBoost,LR_Surrogate,Treat_All,Treat_None
0.01,0.23427826653633105,0.23435972629521018,0.23427826653633105,0.0
0.013277591973244147,0.2317347716415936,0.2318432898567997,0.2317347716415936,0.0
0.016555183946488295,0.22917432299751525,0.22944583705865254,0.22917432299751525,0.0
0.01983277591973244,0.22659675052860873,0.22692310655716955,0.22659675052860873,0.0
0.023110367892976588,0.22400188187688505,0.22438344787675915,0.22400188187688505,0.0
0.026387959866220737,0.22138954236343428,0.22182669005508393,0.22138954236343428,0.0
0.029665551839464885,0.21875955494922744,0.21925265981990277,0.21875955494922744,0.0
0.032943143812709026,0.21638646087252406,0.21666118154992667,0.21611174019512142,0.0
0.036220735785953175,0.21405207723487593,0.21435515774178998,0.21344591622104783,0.0
0.03949832775919732,0.21175680031989613,0.21175680031989613,0.2107618986643663,0.0
0.04277591973244147,0.20914064903843446,0.20914064903843446,0.20805950063736192,0.0
0.04605351170568562,0.20689584975565845,0.20650652048771057,0.2053385326838669,0.0
0.04933110367892977,0.20427270405991999,0.20385422872868614,0.20259880273498454,0.0
0.052608695652173916,0.20207923137278125,0.20207923137278125,0.19984011606389435,0.0
0.05588628762541806,0.19992652259915736,0.19186200647012508,0.19706227523971576,0.0
0.059163879598662206,0.19832213572215707,0.18975048763790603,0.19426508008040722,0.0
0.062441471571906354,0.19628220426847162,0.18714349332526295,0.1914483276046779,0.0
0.0657190635451505,0.19371726992961774,0.18451820759020074,0.18861181198288654,0.0
0.06899665551839465,0.19113427591729273,0.18187443724817398,0.1857553244869036,0.0
0.07227424749163879,0.18978955912776818,0.17984025053813832,0.1828786534389104,0.0
0.07555183946488293,0.1872315085934756,0.1778488243854676,0.17998158415910914,0.0
0.07882943143812708,0.18534537784320823,0.17521049198145305,0.1770638989123166,0.0
0.08210702341137123,0.1842247544943259,0.17327470189646155,0.1741253768534136,0.0
0.08538461538461538,0.18245882959385767,0.17138283729889578,0.1711657939716216,0.0
0.08866220735785953,0.1799536295501818,0.16953537211782851,0.16818492303357685,0.0
0.09193979933110367,0.17906338624728374,0.1669162663764538,0.16518253352517165,0.0
0.09521739130434782,0.17743485607105766,0.16427818511571668,0.16215839159213158,0.0
0.09849498327759196,0.17585312438293216,0.16162092136834988,0.15911225997929646,0.0
0.1017725752508361,0.17340496320416257,0.15894426514622848,0.15604389796857193,0.0
0.10505016722408025,0.1709388701299171,0.1571946249016008,0.1529530613155176,0.0
0.1083277591973244,0.17041413639107988,0.15647115334589246,0.14983950218453682,0.0
0.11160535117056855,0.17000454184999025,0.15586135456425565,0.14670296908263133,0.0
0.1148829431438127,0.15955339675651956,0.15327303864507597,0.1435432067916847,0.0
0.11816053511705685,0.157149026703712,0.1506654823906227,0.14035995629923526,0.0
0.121438127090301,0.15472671700606255,0.14915317822184618,0.13715295472769942,0.0
0.12471571906354514,0.15228626613303814,0.14654086461128482,0.13392193526200513,0.0
0.1279933110367893,0.1521948920091604,0.14627633579664046,0.130666627075593,0.0
0.13127090301003344,0.15222453351547705,0.143694309044056,0.12738675525474247,0.0
0.1345484949832776,0.15112280553038132,0.14109272526231414,0.1240820407211785,0.0
0.13782608695652174,0.15136320010411075,0.1384713614107006,0.12075220015291267,0.0
0.14110367892976589,0.1504036497423098,0.1384797471709347,0.11739694590327229,0.0
0.14438127090301003,0.14813768719903464,0.13589007569290595,0.11401598591806808,0.0
0.14765886287625418,0.15004556760143536,0.13328048757333533,0.1106090236508509,0.0
0.15093645484949833,0.14928773553139335,0.13495159447875912,0.10717575797620574,0.0
0.15421404682274248,0.14858653322431403,0.13241189909166168,0.10371588310102953,0.0
0.15749163879598663,0.13987810546777457,0.12985244346099029,0.10022908847373807,0.0
0.16076923076923078,0.1377472576210047,0.1303627923479495,0.09671505869134561,0.0
0.16404682274247492,0.13718227516471035,0.13100362007885447,0.09317347340435828,0.0
0.16732441471571907,0.13667633229550907,0.13015591980896776,0.08960400721942141,0.0
0.17060200668896322,0.13623012894640651,0.129365257964356,0.08600632959965868,0.0
0.17387959866220737,0.13414697850811835,0.12693491578635313,0.08238010476263857,0.0
0.17715719063545152,0.1337835144678134,0.1244852122675834,0.07872499157590274,0.0
0.18043478260869567,0.12364165311885,0.12201591511936337,0.07504064344998718,0.0
0.1837123745819398,0.1215476258133243,0.12134177529714503,0.07132670822886611,0.0
0.18698996655518393,0.12314634563861254,0.1126627068960255,0.06758282807774635,0.0
0.19026755852842808,0.12299361393981142,0.11021349932915056,0.0638086393681358,0.0
0.19354515050167223,0.12096974861639352,0.10774438363458073,0.060003772560110163,0.0
0.19682274247491638,0.12090561678520818,0.10525511609007811,0.05616785208169628,0.0
0.20010033444816053,0.11888965467942227,0.10274544897879359,0.05230049620529062,0.0
0.20337792642140468,0.11685710377592301,0.10433287874006791,0.048401316921026755,0.0
0.20665551839464882,0.11480775847180463,0.10186529970041516,0.044469919807003766,0.0
0.20993311036789297,0.1148842776244584,0.09937724716070859,0.040505903896284806,0.0
0.21321070234113712,0.11502862431867267,0.10123924445510954,0.03650886154057112,0.0
0.21648829431438127,0.11301338268361429,0.0987952280040813,0.03247837827045441,0.0
0.21976588628762542,0.11098120987446056,0.09860218280169084,0.028414032652146953,0.0
0.22304347826086957,0.11124699893496037,0.09616044190118597,0.024315396140585255,0.0
0.2263210702341137,0.10115977314909715,0.09369801275373957,0.02018203292880022,0.0
0.22959866220735786,0.10152327804112957,0.09121463131139851,0.016013499793441993,0.0
0.232876254180602,0.09951065119464676,0.09360632982067288,0.011809345936344612,0.0
0.23615384615384616,0.09748075236331741,0.09117045122307765,0.0075691128220121695,0.0
0.2394314381270903,0.09797211516502097,0.08064906216000373,0.0032923340109025923,0.0
0.24270903010033446,0.09595289009064967,0.07817092229600259,-0.001021465011617928,0.0
0.2459866220735786,0.09391611043146682,0.08356405468632627,-0.005372767010781293,0.0
0.24926421404682275,0.09453917974526375,0.08118262803995646,-0.009762063182521707,0.0
0.2525418060200669,0.08717392277059377,0.07071580023065188,-0.014189853338317737,0.0
0.255819397993311,0.08517812175168643,0.06829232756483583,-0.018656646094919904,0.0
